term,Coefficient,StdErr,P_value,CI_lower,CI_upper,model_name,n_events,n_reefs
Intercept,5.393459515230887,2.065201860033786,0.009012239207291037,1.3457382487595373,9.441180781702236,algae_change_final_aux,74,44
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-2.605531229962237,1.8268465437153572,0.153797558369179,-6.186084660925815,0.9750222010013405,algae_change_final_aux,74,44
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",-5.411923874889461,2.5157178076405304,0.03145691330593739,-10.342640173130963,-0.4812075766479582,algae_change_final_aux,74,44
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-5.642038643539074,2.3556878095215374,0.01661716476018695,-10.25910190902134,-1.0249753780568094,algae_change_final_aux,74,44
"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-7.889959825394702,3.872602986070056,0.041612081132229334,-15.48012220451428,-0.2997974462751243,algae_change_final_aux,74,44
storm_exposure_seq_c,0.0823855471646252,0.05047888590448575,0.10266277183992174,-0.016551251187873456,0.18132234551712387,algae_change_final_aux,74,44
heat_exposure_seq_c,0.10838390170295517,0.14462617227731048,0.45361178394684665,-0.17507818718245857,0.3918459905883689,algae_change_final_aux,74,44
baseline_hc_c,0.07736223193963601,0.03724318884211891,0.03778141924891522,0.004366923139658946,0.15035754073961308,algae_change_final_aux,74,44
start_year_c,-0.07273071839737084,0.0759427010639745,0.3382114426245145,-0.2215756773714525,0.0761142405767108,algae_change_final_aux,74,44
region_lat_c,0.2694834817964441,0.11299105949008492,0.017079201510787574,0.04802507462085498,0.4909418889720332,algae_change_final_aux,74,44
